nf	ni	stddev	nstars	line1	line2	ele1	ele2	c0	c1	c2	c3  teffa teffb rata ratb meanr nfit
    48   110    76   422   6125.02   6081.45   SiI    VI    5355.75     985.93     349.08      75.79  4578  6374  0.11  5.50  1.68  6
    49   111    80   422   6125.02   6090.21   SiI    VI    4607.93    1559.09    -475.79      50.83  4578  6361  0.02  2.28  0.78  2
    50   112    72   416   6125.02   6111.65   SiI    VI    5319.32     820.42     224.98      55.00  4578  6361  0.09  7.90  2.13  6
    51   113    75   415   6125.02   6135.36   SiI    VI    5266.47     833.26     232.92      54.11  4578  6361  0.12  7.90  2.31  6
    52   115   116   416   6125.02   6128.98   SiI   NiI    4588.42     826.32       0.00       0.00  4556  6289  0.07  2.24  1.09  1
    53   116   118   412   6125.02   6177.25   SiI   NiI    5124.57    1620.63       0.00       0.00  4556  6374  0.43  5.32  1.96  5
    54   119    90   377   6125.02   6120.25   SiI   FeI    4929.09     779.13     267.51      11.50  4578  6161  0.39 11.66  4.36  6
    55   122    92   418   6142.49   6156.02   SiI   CaI    5015.40    1057.60     642.97    -331.58  4556  6361  0.18  7.83  2.56  6
    56   126    70   433   6142.49   6091.18   SiI   TiI    4525.39     976.53    -240.58      26.01  4556  6361  0.11  4.53  1.53  2
    57   127    47   435   6142.49   6126.22   SiI   TiI    4544.63    1430.84    -529.28      83.66  4578  6374  0.06  3.09  1.08  2
    58   128    64   423   6142.49   6081.45   SiI    VI    4633.23     953.40    -261.94      27.91  4624  6374  0.07  5.14  1.62  2
    59   129    58   424   6142.49   6090.21   SiI    VI    5736.59    1621.53     257.75    -317.09  4556  6361  0.11  2.23  0.77  6
    60   130    61   418   6142.49   6111.65   SiI    VI    5322.38     869.74     169.93     -25.57  4556  6289  0.06  7.14  2.01  6
    61   131    70   421   6142.49   6135.36   SiI    VI    4691.57     667.09    -134.45      10.03  4624  6403  0.08  7.76  2.26  2
    62   133    70   406   6142.49   6128.98   SiI   NiI    5472.56    2044.00       0.00       0.00  4595  6374  0.39  2.74  1.12  5
    63   134    94   420   6142.49   6177.25   SiI   NiI    4082.19    1227.66    -273.60      22.48  4556  6374  0.24  5.45  1.88  2
    64   135    75   415   6142.49   6082.72   SiI   FeI    5744.07    2406.21     854.69    -596.93  4556  6361  0.20  1.80  0.80  6
    65   136    68   379   6142.49   6120.25   SiI   FeI    4877.95    1077.86       0.00       0.00  4556  6136  0.44 12.30  4.17  5
    66   137   115   427   6142.49   6151.62   SiI   FeI    4380.26    1957.59       0.00       0.00  4556  6374  0.09  1.05  0.56  1
    67   140    95   423   6145.02   6156.02   SiI   CaI    4937.01    1027.40     821.27    -539.31  4556  6361  0.21 10.67  2.97  6
    68   144    68   434   6145.02   6091.18   SiI   TiI    4505.45     878.79    -194.01      18.78  4556  6361  0.14  5.08  1.77  2
    69   145    43   427   6145.02   6126.22   SiI   TiI    4529.46    1277.51    -417.88      57.68  4624  6374  0.09  3.46  1.25  2
    70   146    62   411   6145.02   6081.45   SiI    VI    5327.27    1052.45       0.00       0.00  4647  6289  0.25  6.06  1.89  5
    71   147    54   428   6145.02   6090.21   SiI    VI    4485.94    1700.53    -634.18      96.81  4578  6361  0.06  2.50  0.89  2
    72   148    63   419   6145.02   6111.65   SiI    VI    5268.15     870.33     175.95     -67.95  4578  6287  0.09  8.45  2.30  6
    73   149    66   417   6145.02   6135.36   SiI    VI    5210.56     905.77     194.65    -131.28  4578  6260  0.11  8.59  2.51  6
    74   151    73   410   6145.02   6128.98   SiI   NiI    5344.43    2075.49       0.00       0.00  4556  6276  0.37  2.75  1.26  5
    75   152   105   425   6145.02   6177.25   SiI   NiI    4054.15    1082.84    -206.69      14.21  4556  6374  0.40  6.45  2.18  2
    76   153    71   407   6082.72   6145.02   FeI   SiI    7280.50   -2380.35     824.95    -103.97  4595  6361  0.42  3.38  1.27  2
    77   154    79   385   6145.02   6120.25   SiI   FeI    4800.66    1092.35       0.00       0.00  4556  6136  0.48 13.48  4.84  5
    78   155   110   434   6145.02   6151.62   SiI   FeI    4345.18    1751.26       0.00       0.00  4578  6374  0.12  1.17  0.65  1
    79   159   100   415   6195.46   6156.02   SiI   CaI    5348.69    1412.86     374.65    -525.18  4556  6361  0.16  4.06  1.36  6
    80   164    88   423   6195.46   6126.22   SiI   TiI    4585.16    2502.80   -1573.96     437.29  4578  6361  0.04  1.71  0.55  2
    81   167    58   414   6195.46   6135.36   SiI    VI    5511.94    1018.03     293.29      69.40  4595  6361  0.07  4.28  1.18  6
    82   168    98   416   6195.46   6216.35   SiI    VI    4582.93    3452.26   -2833.56    1450.06  4578  6260  0.03  0.70  0.35  2
    83   169    54   377   6195.46   6224.51   SiI    VI    5372.76     735.23     125.22      59.96  4595  6136  0.07  7.05  1.68  6
    84   170    61   419   6195.46   6251.83   SiI    VI    5711.59    1025.96     163.18      -1.60  4595  6361  0.04  3.77  0.82  6
    85   171   114   425   6195.46   6128.98   SiI   NiI    6025.57    1928.82       0.00       0.00  4556  6374  0.09  1.58  0.58  5
    86   172    96   419   6195.46   6177.25   SiI   NiI    5573.53    1833.53       0.00       0.00  4556  6374  0.15  2.57  0.99  5
    87   184   101   427   6237.33   6258.11   SiI   TiI    4564.61     992.03       0.00       0.00  4556  6374  0.10  1.97  0.91  1
    88   185    91   423   6237.33   6261.10   SiI   TiI    4580.63     914.71       0.00       0.00  4578  6374  0.10  2.10  0.98  1
    89   186    90   414   6237.33   6216.35   SiI    VI    5364.87    1408.36     735.11      19.81  4556  6289  0.10  3.01  1.26  6
    90   187    72   369   6237.33   6224.51   SiI    VI    4994.85     624.34     109.52      -3.42  4578  6161  0.18 26.30  5.99  6
    91   188    72   412   6237.33   6251.83   SiI    VI    5188.97     865.74     177.20     -87.57  4578  6374  0.12 12.30  2.92  6
    92   189    92   406   6237.33   6274.66   SiI    VI    5052.06     754.45     169.26     -91.20  4556  6287  0.16 31.93  4.58  6
    93   190    85   415   6237.33   6285.17   SiI    VI    5089.04     811.62     191.03    -113.42  4578  6361  0.14 19.16  3.97  6
    94   196   118   421   6237.33   6240.65   SiI   FeI    4342.15    1056.95       0.00       0.00  4578  6374  0.22  2.07  1.07  1
    95   200    97   433   6243.82   6258.11   SiI   TiI    4564.66    1335.20       0.00       0.00  4556  6403  0.11  1.90  0.68  1
    96   201    77   434   6243.82   6261.10   SiI   TiI    4486.31    1488.62      13.19    -142.17  4556  6403  0.12  1.85  0.72  2
    97   202    83   423   6243.82   6216.35   SiI    VI    5596.97    1546.76     309.90    -342.97  4556  6289  0.11  2.23  0.92  6
    98   203    72   381   6243.82   6224.51   SiI    VI    5105.05     729.82       0.00       0.00  4556  6136  0.20 18.34  4.29  5
    99   204    73   425   6243.82   6251.83   SiI    VI    5346.56     890.69       0.00       0.00  4556  6276  0.13  8.48  2.07  5
   100   205    80   404   6243.82   6274.66   SiI    VI    5179.51     809.52       0.00       0.00  4556  6287  0.18 23.79  3.36  5
   101   206    81   424   6243.82   6285.17   SiI    VI    5230.92     856.44       0.00       0.00  4556  6361  0.16 13.95  2.87  5
   102   211   107   434   6243.82   6240.65   SiI   FeI    4338.27    1448.16       0.00       0.00  4556  6403  0.24  1.81  0.79  1
   103   215    99   430   6244.48   6258.11   SiI   TiI    4579.91    1340.87       0.00       0.00  4556  6403  0.04  1.72  0.67  1
   104   216    85   434   6244.48   6261.10   SiI   TiI    4590.64    1263.07       0.00       0.00  4556  6403  0.05  1.66  0.71  1
   105   217    73   423   6244.48   6216.35   SiI    VI    5589.02    1688.66     873.74      84.06  4556  6289  0.04  2.14  0.89  6
   106   218    66   380   6244.48   6224.51   SiI    VI    5085.95     693.53     163.44     -88.80  4556  6136  0.08 17.02  4.23  6
   107   219    74   426   6244.48   6251.83   SiI    VI    4710.24     725.50    -152.60      11.36  4624  6374  0.05  7.97  2.07  2
   108   220    75   404   6244.48   6274.66   SiI    VI    5188.41     792.29       0.00       0.00  4556  6287  0.07 23.23  3.30  5
   109   221    76   425   6244.48   6285.17   SiI    VI    5208.23     893.73     159.01    -183.12  4556  6361  0.07 13.66  2.79  6
   110   222   111   424   6244.48   6177.25   SiI   NiI    4148.73     827.17    -122.07       6.40  4556  6374  0.28  7.25  2.57  2
   111   253    88   412   6721.85   6710.32   SiI   FeI    5121.05    1381.97       0.00       0.00  4556  6374  0.33  8.03  2.24  5
   112   254    90   416   6721.85   6739.52   SiI   FeI    4977.96    1325.70       0.00       0.00  4556  6374  0.40 11.72  2.96  5
   113   258    70   400   6741.63   6710.32   SiI   FeI    4522.89    1937.27    -867.24     154.64  4624  6361  0.09  2.38  0.80  2
   114   259    68   397   6741.63   6739.52   SiI   FeI    4539.28    1484.32    -534.89      77.55  4624  6276  0.12  2.83  1.04  2
   115   266    98   423   4749.95   4743.82   FeI   ScI    4529.67     507.53     -57.88       2.56  4556  6374  0.18 10.22  2.75  2
   116   267    86   425   4743.82   4802.52   ScI   FeI    5399.36   -1620.96       0.00       0.00  4578  6374  0.26  3.63  1.08  5
   117   268   113   420   5577.03   5520.50   FeI   ScI    4503.49     805.34       0.00       0.00  4556  6287  0.16  2.51  1.17  1
   118   270   100   438   5649.99   5671.82   FeI   ScI    4380.34    1007.97    -239.18      28.38  4578  6287  0.14  3.59  1.67  2
   119   271    94   437   5651.47   5671.82   FeI   ScI    4519.96    1062.56       0.00       0.00  4578  6287  0.14  1.82  0.89  1
   120   294    59   420   4555.49   4588.20   TiI  CrII    6930.61   -1543.82     390.48     -34.97  4578  6403  0.32  4.76  1.55  2
   121   295    70   420   4555.49   4592.05   TiI  CrII    6062.88   -2344.14     172.02     818.08  4595  6403  0.70  6.15  2.10  6
   122   300    78   428   4562.63   4588.20   TiI  CrII    5095.58    -861.69       0.00       0.00  4556  6271  0.03  4.15  0.63  5
   123   301    63   428   4562.63   4592.05   TiI  CrII    5214.59    -894.11       0.00       0.00  4578  6374  0.05  5.15  0.82  5
   124   302   101   437   4562.63   4594.63   TiI   CoI    5681.62   -1550.38       0.00       0.00  4578  6374  0.49  8.76  1.63  5
   125   303    54   421   4562.63   4512.99   TiI   NiI    5516.27   -1390.69       0.00       0.00  4578  6374  0.30  5.55  1.27  5
   126   304    70   437   4562.63   4523.40   TiI   FeI    4958.01   -1997.53   -1421.95    -811.15  4578  6374  0.10  1.58  0.54  6
   127   305    87   430   4531.62   4562.63   FeI   TiI    4273.10     537.45     -60.64       2.41  4595  6271  0.85 12.81  4.20  2
   128   306    73   414   4562.63   4537.67   TiI   FeI    5477.07   -1868.24       0.00       0.00  4624  6403  0.28  3.08  1.09  5
   129   307    60   423   4562.63   4551.65   TiI   FeI    5260.69   -1465.55       0.00       0.00  4578  6374  0.18  3.59  0.85  5
   130   308    71   420   4556.93   4562.63   FeI   TiI    4154.91    1344.26    -350.79      35.42  4578  6374  0.34  4.74  1.71  2
   131   309    64   430   4562.63   4566.52   TiI   FeI    4920.39   -1927.08   -1103.24    -538.87  4556  6374  0.10  1.51  0.52  6
   132   310    75   431   4562.63   4574.22   TiI   FeI    4990.61   -1497.24       0.00       0.00  4595  6289  0.12  2.16  0.57  5
   133   311    53   419   4562.63   4593.53   TiI   FeI    5233.15   -1459.82       0.00       0.00  4624  6374  0.18  3.64  0.82  5
   134   312    55   422   4562.63   4596.41   TiI   FeI    5140.43   -1498.38       0.00       0.00  4578  6374  0.15  2.65  0.71  5
   135   314   119   428   4562.63   4625.05   TiI   FeI    4078.18   -3392.08   -2267.95    -658.91  4578  6374  0.04  0.77  0.25  6
   136   315    82   418   4562.63   4631.49   TiI   FeI    5828.16   -1525.04       0.00       0.00  4578  6374  0.46 10.40  2.07  5
   137   318   101   429   4656.47   4588.20   TiI  CrII    5762.18   -2209.09    1151.88      23.80  4556  6403  0.55  9.32  1.88  6
   138   319   115   428   4592.05   4656.47  CrII   TiI    4623.65    1586.13       0.00       0.00  4556  6403  0.06  1.17  0.54  1
   139   329    89   425   4661.54   4675.11   FeI   TiI    3843.04    2058.67       0.00       0.00  4556  6374  0.39  1.32  0.79  1
   140   330   115   430   4722.61   4661.54   TiI   FeI    5234.58   -1835.32       0.00       0.00  4556  6403  0.27  3.31  0.86  5
   141   335   100   426   4952.29   4997.10   NiI   TiI    3966.02    2911.34   -1358.78     255.97  4556  6403  0.24  1.93  0.80  2
   142   337    58   431   4997.10   5010.94   TiI   NiI    5422.98   -1887.73       0.00       0.00  4556  6403  0.25  4.20  1.07  5
   143   339    74   432   4952.65   4997.10   FeI   TiI    4135.35    1613.99    -463.41      49.55  4556  6374  0.27  4.30  1.35  2
   144   341   101   423   4962.58   4997.10   FeI   TiI    3315.96    2958.42   -1159.78     163.59  4556  6361  0.46  3.42  1.39  2
   145   344    82   424   5054.65   4997.10   FeI   TiI    2941.11    4106.65   -1820.86     294.67  4556  6403  0.51  2.59  1.03  2
   146   365   103   423   5113.44   5180.06   TiI   FeI    5294.09   -1692.59    1216.77    -554.97  4595  6374  0.33  2.96  0.93  6
   147   369   114   431   5219.70   5159.06   TiI   FeI    5170.58   -1522.66       0.00       0.00  4624  6403  0.13  2.41  0.72  5
   148   370    92   432   5219.70   5180.06   TiI   FeI    6864.48   -2322.81     978.47    -150.42  4578  6403  0.23  3.19  1.00  2
   149   371    79   430   5219.70   5187.91   TiI   FeI    5255.08   -1659.40       0.00       0.00  4556  6403  0.19  3.68  0.87  5
   150   374    81   425   5219.70   5197.57   TiI  FeII    5249.71   -1098.81       0.00       0.00  4595  6276  0.09  5.38  0.88  5
   151   375   100   428   5197.94   5219.70   FeI   TiI    3659.01    3411.37   -1806.68     357.25  4595  6289  0.34  2.32  0.98  2
   152   377    76   410   5223.19   5219.70   FeI   TiI    3394.74    4255.60   -2413.83     551.61  4723  6403  0.32  1.76  0.83  2
   153   378    84   428   5219.70   5228.38   TiI   FeI    5204.32   -1778.46       0.00       0.00  4556  6287  0.21  2.35  0.80  5
   154   380    71   424   5219.70   5234.63   TiI  FeII    5261.84   -1053.00       0.00       0.00  4556  6218  0.09  5.95  0.97  5
   155   382    83   430   5243.78   5219.70   FeI   TiI    3618.54    2092.90    -662.04      74.71  4578  6374  0.52  4.48  1.69  2
   156   385    58   424   5264.81   5219.70  FeII   TiI    4683.90    1385.57    -554.04      79.22  4649  6146  0.03  3.47  1.07  2
   157   386    86   430   5219.70   5288.53   TiI   FeI    5218.68   -2030.90    -838.81    -328.56  4578  6403  0.21  1.98  0.79  6
