nf	ni	stddev	nstars	line1	line2	ele1	ele2	c0	c1	c2	c3  teffa teffb rata ratb meanr nfit
   204   501    69   435   5625.32   5670.85   NiI    VI    4388.42    1438.27    -501.21      67.10  4595  6403  0.16  3.98  1.42  2
   205   502    56   426   5628.35   5670.85   NiI    VI    4505.59    2754.47   -1915.99     643.81  4624  6374  0.05  1.40  0.56  2
   206   503    51   416   5641.88   5670.85   NiI    VI    4476.88    1932.54    -957.12     201.81  4649  6361  0.09  2.40  0.92  2
   207   504    48   424   5670.85   5643.08    VI   NiI    5999.17   -1881.42     557.81      40.83  4624  6374  0.69 12.61  2.61  6
   208   505    82   430   5670.85   5682.20    VI   NiI    5264.42   -1208.18       0.00       0.00  4556  6403  0.15  4.13  0.91  5
   209   506    77   435   5670.85   5694.99    VI   NiI    5326.74   -1314.19       0.00       0.00  4556  6403  0.15  4.53  1.00  5
   210   507   105   438   5670.85   5618.64    VI   FeI    5177.02   -1405.75       0.00       0.00  4556  6403  0.15  2.67  0.76  5
   211   508    76   427   5619.60   5670.85   FeI    VI    4083.97    1920.50    -737.38     111.73  4649  6361  0.41  3.22  1.34  2
   212   509   106   426   5633.95   5670.85   FeI    VI    4337.41     774.91    -127.99       7.29  4556  6403  0.37  9.84  2.63  2
   213   510    79   434   5635.83   5670.85   FeI    VI    4187.21    1831.48    -713.12     108.75  4556  6403  0.22  3.48  1.30  2
   214   512   104   430   5641.44   5670.85   FeI    VI    4221.42     928.15    -178.22      12.15  4556  6403  0.43  7.87  2.53  2
   215   513    79   440   5649.99   5670.85   FeI    VI    4328.74    1549.20    -543.25      73.12  4578  6361  0.16  3.79  1.37  2
   216   514    61   431   5651.47   5670.85   FeI    VI    4311.11    2455.38   -1121.10     195.59  4624  6374  0.12  2.41  0.73  2
   217   515    74   434   5670.85   5652.32    VI   FeI    5564.01   -1522.81       0.00       0.00  4595  6374  0.28  6.65  1.38  5
   218   516    82   432   5653.87   5670.85   FeI    VI    4276.28    1583.89    -556.98      74.69  4556  6361  0.25  3.85  1.40  2
   219   517    68   434   5661.35   5670.85   FeI    VI    4229.73    2309.91   -1068.91     207.25  4578  6374  0.16  2.34  0.89  2
   220   519    90   435   5670.85   5667.52    VI   FeI    5123.86   -1518.89       0.00       0.00  4556  6403  0.16  2.54  0.71  5
   221   520   115   434   5679.03   5670.85   FeI    VI    4210.76    1015.89    -208.95      15.12  4578  6403  0.43  7.51  2.35  2
   222   521    72   421   5670.85   5680.24    VI   FeI    6383.96   -2218.62    -231.92     756.44  4556  6403  0.98  9.89  3.03  6
   223   522   110   435   5670.85   5715.09    VI   FeI    4885.41   -2144.12   -1430.97    -634.58  4556  6374  0.11  1.40  0.51  6
   224   524   110   432   5670.85   5731.77    VI   FeI    5093.36   -1685.87    -698.40    -269.83  4556  6374  0.13  2.05  0.64  6
   225   525    82   408   5670.85   5738.24    VI   FeI    6082.15   -1927.10       0.00       0.00  4595  6403  0.65  6.20  2.22  5
   226   526    80   420   5703.59   5641.88    VI   NiI    6995.31   -1174.75     217.50     -13.85  4595  6374  0.66  6.96  2.13  2
   227   527    95   429   5643.08   5703.59   NiI    VI    4483.35    2712.46       0.00       0.00  4578  6374  0.08  0.79  0.37  1
   228   528    84   424   5703.59   5682.20    VI   NiI    5419.44   -1612.42       0.00       0.00  4556  6374  0.26  4.15  1.11  5
   229   529    81   432   5703.59   5694.99    VI   NiI    5527.33   -1813.39       0.00       0.00  4556  6403  0.35  4.55  1.23  5
   230   531    95   428   5703.59   5635.83    VI   FeI    6949.81   -1446.73     223.55       2.93  4578  6374  0.45  3.14  1.33  2
   231   533   114   432   5703.59   5641.44    VI   FeI    6482.14   -1461.97    -160.23     215.36  4556  6374  0.20  2.23  0.72  2
   232   534    85   416   5703.59   5649.99    VI   FeI    5669.19   -1978.78       0.00       0.00  4578  6361  0.45  3.97  1.32  5
   233   535    92   395   5703.59   5651.47    VI   FeI    6425.99   -2784.52       0.00       0.00  4723  6361  1.07  3.92  2.21  5
   234   536   100   427   5703.59   5652.32    VI   FeI    5935.02   -2316.70       0.00       0.00  4556  6374  0.48  3.92  1.68  5
   235   537    95   433   5703.59   5653.87    VI   FeI    5628.34   -2036.84       0.00       0.00  4556  6374  0.37  3.86  1.32  5
   236   538   110   422   5661.35   5703.59   FeI    VI    4281.05    2065.65       0.00       0.00  4578  6361  0.12  1.02  0.58  1
   237   540   107   430   5703.59   5667.52    VI   FeI    5280.98   -2193.13       0.00       0.00  4556  6374  0.28  2.55  0.89  5
   238   547    95   436   5703.59   5741.85    VI   FeI    5768.56   -2409.55       0.00       0.00  4556  6287  0.57  4.07  1.42  5
   239   548   115   432   5703.59   5752.04    VI   FeI    5287.02   -1892.00       0.00       0.00  4556  6287  0.27  2.77  0.89  5
   240   549    62   425   5727.05   5682.20    VI   NiI    5585.03   -1607.82       0.00       0.00  4578  6403  0.36  5.38  1.39  5
   241   550    59   429   5727.05   5694.99    VI   NiI    5709.88   -1798.10       0.00       0.00  4578  6403  0.35  5.90  1.55  5
   242   551   101   421   5727.05   5661.35    VI   FeI    6335.59   -2391.63       0.00       0.00  4578  6403  1.05  9.50  2.45  5
   243   553    92   431   5667.52   5727.05   FeI    VI    3845.71    2455.35    -936.58     141.60  4578  6403  0.30  2.56  1.07  2
   244   554   104   429   5679.03   5727.05   FeI    VI    3574.75    2812.40   -1142.44     165.40  4578  6403  0.34  3.34  1.24  2
   245   556    96   430   5727.05   5715.09    VI   FeI    6406.55   -1167.36       0.00       0.00  4578  6227  0.25  1.76  0.81  1
   246   558    96   431   5731.77   5727.05   FeI    VI    3492.78    3125.83   -1385.52     218.87  4556  6403  0.40  3.16  1.18  2
   247   560    75   420   5727.05   5741.85    VI   FeI    5995.89   -2379.69       0.00       0.00  4647  6374  0.70  5.32  1.76  5
   248   561    87   433   5752.04   5727.05   FeI    VI    3789.33    2716.33   -1178.22     186.33  4556  6374  0.28  3.03  1.10  2
   249   562   100   435   5727.05   5775.08    VI   FeI    5398.61   -1962.80       0.00       0.00  4556  6276  0.32  3.53  1.02  5
   250   564    90   433   5793.92   5727.05   FeI    VI    3754.45    4057.27   -2448.63     567.09  4578  6403  0.18  1.78  0.70  2
   251   565    95   419   5737.07   5682.20    VI   NiI    5093.20   -1044.62       0.00       0.00  4556  6289  0.09  3.32  0.67  5
   252   566    92   424   5737.07   5694.99    VI   NiI    5134.31   -1124.03       0.00       0.00  4556  6289  0.10  3.64  0.73  5
   253   567    81   420   5737.07   5805.22    VI   NiI    5175.99   -1096.42       0.00       0.00  4556  6289  0.11  4.85  0.81  5
   254   568   106   423   5737.07   5667.52    VI   FeI    6356.77   -2983.55    2072.15    -526.06  4556  6289  0.09  2.04  0.51  2
   255   570    79   417   5737.07   5680.24    VI   FeI    5876.22   -1851.09     240.03     352.27  4556  6227  0.65  7.44  2.16  6
   256   574    86   424   5737.07   5738.24    VI   FeI    5673.07   -1505.14       0.00       0.00  4556  6289  0.37  7.76  1.72  5
   257   575    92   427   5737.07   5741.85    VI   FeI    5189.60   -1349.13       0.00       0.00  4556  6289  0.16  3.18  0.81  5
   258   576   115   424   5737.07   5752.04    VI   FeI    4977.06   -1165.22       0.00       0.00  4556  6289  0.08  2.22  0.52  5
   259   578   105   424   5737.07   5778.46    VI   FeI    6760.77   -2275.56     889.74    -124.24  4556  6289  0.25  3.01  0.92  2
   260   579   102   426   5737.07   5793.92    VI   FeI    6314.88   -1747.26     665.84     -87.40  4556  6289  0.12  3.56  0.78  2
   261   580   104   420   5737.07   5806.73    VI   FeI    4980.47   -1162.90       0.00       0.00  4556  6289  0.08  2.49  0.53  5
   262   581    58   433   6039.73   5996.73    VI   NiI    5479.07   -1531.94     515.39     170.67  4556  6361  0.37  7.92  1.38  6
   263   582    69   427   6086.29   6039.73   NiI    VI    4398.18     790.83    -148.51      10.92  4556  6374  0.25  6.80  2.34  2
   264   587   117   427   6039.73   6027.06    VI   FeI    6288.10   -2909.57    1707.35    -349.82  4556  6276  0.08  1.31  0.40  2
   265   589    96   400   6035.34   6039.73   FeI    VI    4557.95    2490.26       0.00       0.00  4556  6361  0.04  0.82  0.36  1
   266   590    86   421   6054.08   6039.73   FeI    VI    4573.63    1631.18       0.00       0.00  4556  6361  0.06  1.16  0.54  1
   267   591   117   423   6039.73   6056.01    VI   FeI    4723.02   -1354.03       0.00       0.00  4556  6374  0.06  1.28  0.35  5
   268   593    89   427   6039.73   6079.01    VI   FeI    4985.69   -1419.30       0.00       0.00  4556  6276  0.12  2.96  0.57  5
   269   594    92   431   6039.73   6089.57    VI   FeI    5096.61   -1575.61       0.00       0.00  4556  6374  0.10  3.26  0.69  5
   270   595    66   434   6039.73   6094.38    VI   FeI    5456.72   -1745.58     646.12     395.36  4556  6374  0.38  4.89  1.24  6
   271   596    67   424   6098.25   6039.73   FeI    VI    4328.62    1747.56    -557.29      70.52  4556  6374  0.17  2.38  0.93  2
   272   597    68   427   6081.45   6086.29    VI   NiI    5149.80   -1261.76     367.63     336.48  4556  6289  0.17  4.42  0.80  6
   273   598    58   432   6111.08   6081.45   NiI    VI    4406.69    1144.56    -331.96      41.02  4578  6276  0.18  3.94  1.62  2
   274   599    72   423   6119.76   6081.45   NiI    VI    4552.74    2439.14   -1453.58     475.42  4624  6361  0.05  1.27  0.55  2
   275   600    47   428   6130.14   6081.45   NiI    VI    4484.00    1547.58    -599.90     105.00  4624  6271  0.09  2.59  1.02  2
   276   603    99   402   6081.45   6034.04    VI   FeI    6108.36   -1655.28       0.00       0.00  4556  6361  0.83  9.31  2.83  5
   277   604    94   391   6081.45   6035.34    VI   FeI    6993.77    -675.34      75.67      -3.02  4595  6289  1.28 11.16  3.82  2
   278   605    83   412   6054.08   6081.45   FeI    VI    4589.83    1847.19       0.00       0.00  4556  6276  0.05  0.95  0.46  1
   279   607   117   429   6081.45   6078.49    VI   FeI    6273.41   -2902.91    1461.14    -132.34  4556  6260  0.08  1.47  0.37  2
   280   608    91   434   6079.01   6081.45   FeI    VI    4271.08     991.47    -219.89      18.49  4556  6374  0.32  6.28  2.25  2
   281   609    92   431   6081.45   6089.57    VI   FeI    5203.04   -1546.69       0.00       0.00  4556  6374  0.20  2.70  0.80  5
   282   610    67   433   6081.45   6094.38    VI   FeI    5566.76   -1763.37     597.19     251.75  4556  6374  0.44  5.65  1.46  6
   283   611    67   422   6098.25   6081.45   FeI    VI    4322.34    2131.55    -923.85     178.26  4578  6374  0.15  1.97  0.81  2
   284   612   103   430   6081.45   6127.91    VI   FeI    5071.26   -1349.46       0.00       0.00  4556  6289  0.15  2.56  0.65  5
   285   613    67   431   6090.21   6086.29    VI   NiI    5555.57   -1954.83       0.00       0.00  4556  6361  0.43  3.88  1.24  5
   286   614    79   431   6090.21   6111.08    VI   NiI    7112.57   -1766.09     457.32     -40.66  4556  6403  0.28  4.85  1.52  2
   287   616   110   430   6130.14   6090.21   NiI    VI    4541.25    1841.42       0.00       0.00  4556  6361  0.06  1.08  0.50  1
   288   618   109   431   6027.06   6090.21   FeI    VI    3499.74    2217.71    -676.27      71.33  4556  6276  0.49  4.02  1.60  2
   289   622   119   422   6090.21   6056.01    VI   FeI    6381.00   -1372.12       0.00       0.00  4578  6403  0.05  1.56  0.66  1
   290   623   119   422   6090.21   6078.49    VI   FeI    6443.60   -1606.61       0.00       0.00  4578  6403  0.10  1.35  0.60  1
   291   624    79   426   6090.21   6079.01    VI   FeI    5460.03   -2197.31       0.00       0.00  4556  6361  0.41  3.08  1.08  5
   292   625   100   432   6090.21   6089.57    VI   FeI    5715.25   -2492.05       0.00       0.00  4556  6374  0.54  3.65  1.33  5
   293   628    95   432   6090.21   6127.91    VI   FeI    5421.56   -2083.17       0.00       0.00  4556  6289  0.38  2.87  1.05  5
   294   629   107   428   6090.21   6157.73    VI   FeI    5167.54   -2066.70       0.00       0.00  4556  6276  0.27  1.84  0.79  5
   295   631    72   422   6086.29   6111.65   NiI    VI    4569.88     660.52    -121.54       8.43  4595  6361  0.19  8.03  2.58  2
   296   632    56   419   6111.65   6111.08    VI   NiI    5227.32   -1043.69     272.78       3.05  4578  6289  0.16  6.34  0.95  6
   297   633    58   421   6111.65   6119.76    VI   NiI    5790.05   -1487.03     543.20     -46.89  4624  6361  0.50 24.81  2.67  6
   298   634    42   419   6111.65   6130.14    VI   NiI    5442.48   -1167.75     321.50      36.41  4578  6289  0.26 12.09  1.54  6
   299   635    86   426   6111.65   6175.37    VI   NiI    5084.83   -1084.98       0.00       0.00  4556  6289  0.10  3.25  0.65  5
   300   636    93   424   6111.65   6176.82    VI   NiI    4977.63   -1052.74       0.00       0.00  4556  6287  0.08  2.75  0.51  5
   301   637    52   417   6054.08   6111.65   FeI    VI    4563.24    2167.74    -979.05     184.09  4624  6289  0.04  1.67  0.58  2
   302   638   118   423   6056.01   6111.65   FeI    VI    4493.47     424.08     -45.41       1.70  4556  6361  0.49 14.86  4.62  2
   303   639   114   425   6111.65   6078.49    VI   FeI    4819.94   -1115.91       0.00       0.00  4556  6287  0.06  1.68  0.37  5
   304   640    93   426   6079.01   6111.65   FeI    VI    4497.47     662.97    -114.34       7.26  4556  6361  0.26  8.60  2.81  2
   305   641    91   423   6111.65   6089.57    VI   FeI    5184.45   -1213.45       0.00       0.00  4556  6289  0.15  4.20  0.79  5
   306   642    57   427   6111.65   6094.38    VI   FeI    5458.21   -1326.88     351.79     175.53  4578  6287  0.28 14.52  1.51  6
   307   643    59   422   6111.65   6098.25    VI   FeI    5560.27   -1419.96     265.87     195.40  4578  6289  0.34  7.78  1.63  6
   308   644   100   422   6111.65   6127.91    VI   FeI    5079.04   -1092.12       0.00       0.00  4556  6289  0.11  3.16  0.64  5
   309   645   112   420   6111.65   6157.73    VI   FeI    4949.60   -1084.65       0.00       0.00  4556  6287  0.08  2.16  0.48  5
   310   646    80   416   6159.38   6111.65   FeI    VI    4434.86    2011.74    -927.17     176.20  4595  6361  0.13  2.43  0.85  2
   311   647   100   424   6111.65   6165.36    VI   FeI    5097.42   -1105.45       0.00       0.00  4556  6289  0.11  2.93  0.67  5
   312   648    72   419   6086.29   6135.36   NiI    VI    4499.93     654.16    -115.91       7.78  4578  6361  0.25  8.15  2.84  2
   313   649    60   419   6111.08   6135.36   NiI    VI    4502.09     797.51    -174.98      15.37  4578  6403  0.20  6.28  2.24  2
   314   650    58   418   6135.36   6119.76    VI   NiI    5727.03   -1539.85     620.41     -56.66  4624  6361  0.48 19.53  2.25  6
   315   651    46   421   6130.14   6135.36   NiI    VI    4552.38    1135.45    -358.52      47.31  4624  6403  0.09  4.04  1.42  2
   316   652    89   424   6135.36   6175.37    VI   NiI    4997.38   -1142.34       0.00       0.00  4556  6260  0.11  2.50  0.55  5
   317   653    95   420   6135.36   6176.82    VI   NiI    4885.96   -1109.65       0.00       0.00  4556  6260  0.08  2.21  0.43  5
   318   654    52   419   6135.36   6186.72    VI   NiI    5201.40   -1118.89     339.23     125.26  4578  6227  0.18  5.53  0.90  6
   319   655    57   420   6204.61   6135.36   NiI    VI    4562.08     985.89    -235.13      21.98  4624  6403  0.13  5.25  1.45  2
   320   656   118   422   6135.36   6078.49    VI   FeI    4710.94   -1183.61       0.00       0.00  4556  6271  0.05  1.32  0.31  5
   321   657    94   422   6079.01   6135.36   FeI    VI    4403.35     677.02    -114.88       7.22  4556  6403  0.33  8.46  3.11  2
   322   658    97   426   6135.36   6089.57    VI   FeI    5091.15   -1291.43       0.00       0.00  4556  6403  0.07  3.30  0.66  5
   323   659    62   428   6094.38   6135.36   FeI    VI    4497.14    1186.58    -346.69      43.20  4578  6260  0.09  3.53  1.30  2
   324   660    64   421   6098.25   6135.36   FeI    VI    4393.38    1651.98    -664.77     112.66  4578  6361  0.16  2.79  1.10  2
   325   661   105   422   6135.36   6127.91    VI   FeI    4988.77   -1163.97       0.00       0.00  4556  6276  0.11  2.49  0.54  5
   326   662   119   423   6135.36   6157.73    VI   FeI    4851.43   -1152.65       0.00       0.00  4556  6276  0.08  1.65  0.40  5
   327   663    90   417   6159.38   6135.36   FeI    VI    4347.42    1989.83    -887.39     168.35  4595  6361  0.17  2.39  0.94  2
   328   664   102   421   6135.36   6165.36    VI   FeI    5006.60   -1174.62       0.00       0.00  4556  6276  0.11  2.31  0.56  5
   329   665    97   430   6216.35   6175.37    VI   NiI    6831.34   -1768.72     503.21     -48.40  4556  6289  0.43  4.73  1.24  2
   330   666   100   427   6216.35   6176.82    VI   NiI    5320.23   -1764.24       0.00       0.00  4556  6178  0.33  4.18  0.96  5
   331   667    62   434   6186.72   6216.35   NiI    VI    4439.90    1855.24    -773.86     563.41  4578  6289  0.10  1.14  0.63  2
   332   668   101   433   6204.61   6216.35   NiI    VI    4440.04    2211.15       0.00       0.00  4556  6289  0.07  0.85  0.46  1
   333   669    64   430   6216.35   6223.99    VI   NiI    6214.53   -4102.09    4358.55   -1926.64  4578  6161  1.04  9.57  2.22  6
   334   670   109   415   6216.35   6230.10    VI   NiI    6970.01   -6530.44    7021.64   -2717.02  4556  6374  1.24  9.96  2.69  6
   335   671    70   422   6149.25   6216.35  FeII    VI    4693.36    1983.31   -1116.75     229.06  4624  6178  0.02  2.53  0.68  2
   336   674   117   427   6216.35   6165.36    VI   FeI    6874.25   -1751.04     488.12     -47.05  4556  6178  0.43  4.38  1.27  2
   337   677    71   429   6226.74   6216.35   FeI    VI    4357.35    1609.03    -624.04    1107.05  4578  6161  0.15  0.91  0.63  2
   338   679    68   423   6238.39   6216.35  FeII    VI    4688.90    1520.90    -628.82      94.19  4624  6178  0.05  3.18  0.86  2
   339   680    47   372   6216.35   6239.94    VI  FeII    6273.01   -1381.76     524.70    -125.68  4715  6361  0.96 58.36  8.87  6
   340   681    81   425   6216.35   6247.56    VI  FeII    5588.95   -1021.35      25.81     166.43  4556  6218  0.24 48.60  2.78  6
   341   682    80   379   6224.51   6175.37    VI   NiI    4951.17    -889.34       0.00       0.00  4556  6136  0.06  2.60  0.50  5
   342   683    86   381   6224.51   6176.82    VI   NiI    4856.69    -932.91     -32.35      20.38  4556  6136  0.05  2.30  0.39  6
   343   684    55   385   6224.51   6186.72    VI   NiI    5121.20    -840.21     130.96      37.09  4578  6161  0.10  5.77  0.81  6
   344   685    55   379   6224.51   6204.61    VI   NiI    5225.32    -896.40     154.40      70.49  4578  6161  0.13  7.53  1.08  6
   345   686    55   383   6224.51   6223.99    VI   NiI    5164.14    -843.65      48.15     -62.56  4578  6161  0.10  5.27  0.89  6
   346   687    62   375   6230.10   6224.51   NiI    VI    4702.47     606.18    -116.53       8.69  4649  6161  0.04  7.06  2.11  2
   347   688   102   378   6224.51   6157.73    VI   FeI    4836.63    -902.24       0.00       0.00  4556  6136  0.05  1.65  0.36  5
   348   689    79   378   6224.51   6159.38    VI   FeI    5387.46   -1060.27       0.00       0.00  4595  6161  0.16  6.30  1.27  5
   349   690    94   385   6224.51   6165.36    VI   FeI    4958.81    -908.87       0.00       0.00  4556  6161  0.06  2.41  0.50  5
   350   691    94   381   6187.99   6224.51   FeI    VI    4521.49     374.44     -38.85       1.43  4556  6161  0.42 14.48  4.70  2
   351   692    66   391   6224.51   6220.79    VI   FeI    5205.10   -1165.05    -282.63    -359.06  4556  6161  0.17  2.82  0.85  6
   352   693    71   387   6224.51   6226.74    VI   FeI    5062.29   -1020.37       0.00       0.00  4556  6161  0.11  3.73  0.67  5
   353   695    62   379   6224.51   6238.39    VI  FeII    5221.92    -607.12       0.00       0.00  4556  6136  0.05 11.45  1.36  5
   354   696    46   328   6224.51   6239.94    VI  FeII    5566.73    -534.93      55.13     -29.44  4715  6161  0.12 32.90  4.00  6
   355   697    75   380   6224.51   6247.56    VI  FeII    5199.10    -580.23       0.00       0.00  4556  6136  0.05 26.75  1.41  5
   356   698    94   382   6224.51   6290.98    VI   FeI    4788.15    -921.69       0.00       0.00  4556  6136  0.04  1.64  0.33  5
   357   699    51   425   6186.72   6251.83   NiI    VI    4535.57    1292.89    -450.23      60.46  4624  6374  0.11  4.10  1.34  2
   358   700    54   417   6251.83   6204.61    VI   NiI    5607.22   -1161.46       0.00       0.00  4624  6227  0.27 11.25  1.81  5
   359   701    50   421   6251.83   6223.99    VI   NiI    5487.35   -1173.64     115.80      43.24  4578  6276  0.28  8.19  1.47  6
   360   702    48   406   6230.10   6251.83   NiI    VI    4625.96    1461.20    -573.46      96.59  4649  6276  0.03  2.68  0.97  2
   361   703    90   425   6251.83   6187.99    VI   FeI    5137.51   -1316.32       0.00       0.00  4556  6276  0.14  2.87  0.71  5
   362   704    64   424   6220.79   6251.83   FeI    VI    4101.95    2901.08   -1726.55     402.50  4649  6361  0.23  2.13  0.88  2
   363   705    67   430   6226.74   6251.83   FeI    VI    4328.09    1597.37    -588.18      82.48  4624  6374  0.17  3.70  1.32  2
   364   707    61   418   6251.83   6238.39    VI  FeII    5436.06    -707.14       0.00       0.00  4578  6276  0.09 17.81  2.10  5
   365   708    47   375   6251.83   6239.94    VI  FeII    5812.56    -657.44      95.93     -41.68  4715  6361  0.23 49.38  6.43  6
   366   709    74   421   6251.83   6247.56    VI  FeII    5396.37    -675.22       0.00       0.00  4556  6227  0.07 41.59  2.16  5
   367   710    96   427   6251.83   6290.98    VI   FeI    5016.07   -1171.68       0.00       0.00  4556  6374  0.09  2.24  0.56  5
   368   711   114   373   6251.83   6303.46    VI   FeI    6316.41   -1239.36       0.00       0.00  4556  6361  0.48 37.46  6.56  5
   369   712    85   426   6315.81   6251.83   FeI    VI    4394.80    1118.73    -297.28      28.45  4578  6374  0.24  5.96  1.88  2
   370   713    74   409   6274.66   6223.99    VI   NiI    5270.59    -997.57       0.00       0.00  4556  6287  0.09  5.93  1.04  5
   371   714    88   403   6274.66   6230.10    VI   NiI    5376.64    -998.79       0.00       0.00  4556  6287  0.12 27.92  1.44  5
   372   715    71   401   6274.66   6322.17    VI   NiI    5451.19    -975.43       0.00       0.00  4556  6287  0.13 14.00  1.66  5
   373   716    91   409   6274.66   6220.79    VI   FeI    5325.47   -1340.36       0.00       0.00  4556  6287  0.15  4.99  1.04  5
   374   717    91   413   6274.66   6226.74    VI   FeI    5164.88   -1167.25       0.00       0.00  4556  6287  0.09  4.20  0.79  5
   375   719    70   405   6274.66   6238.39    VI  FeII    5293.56    -657.94       0.00       0.00  4556  6276  0.03 12.90  1.53  5
   376   720    57   354   6274.66   6239.94    VI  FeII    5661.85    -594.98      22.05       2.83  4715  6287  0.09 37.27  4.52  6
   377   721    83   410   6274.66   6247.56    VI  FeII    5266.96    -633.57       0.00       0.00  4556  6276  0.03 30.13  1.55  5
   378   722   106   409   6274.66   6290.98    VI   FeI    4843.32   -1039.38       0.00       0.00  4556  6287  0.03  1.85  0.38  5
   379   723   118   367   6274.66   6303.46    VI   FeI    5944.79   -1061.05       0.00       0.00  4556  6287  0.23 25.67  4.32  5
   380   724    99   410   6274.66   6315.81    VI   FeI    5048.38   -1067.56       0.00       0.00  4556  6287  0.06  3.16  0.61  5
   381   726    67   425   6285.17   6223.99    VI   NiI    5342.07   -1074.13       0.00       0.00  4556  6361  0.15  6.54  1.15  5
   382   727    76   417   6230.10   6285.17   NiI    VI    4601.66    1113.70    -330.75      38.23  4556  6374  0.03  4.58  1.32  2
   383   728    74   419   6322.17   6285.17   NiI    VI    4623.22    1293.52    -441.95      54.52  4578  6361  0.07  4.50  1.12  2
   384   729    84   422   6220.79   6285.17   FeI    VI    4243.82    1762.57    -652.65      89.69  4578  6361  0.19  3.81  1.21  2
   385   730    81   427   6285.17   6226.74    VI   FeI    5240.47   -1272.43       0.00       0.00  4556  6361  0.15  4.63  0.89  5
   386   732    69   421   6285.17   6238.39    VI  FeII    5341.88    -690.77       0.00       0.00  4556  6361  0.05 14.24  1.61  5
   387   733    53   368   6285.17   6239.94    VI  FeII    5716.96    -614.74      53.19     -25.27  4715  6361  0.13 37.79  4.90  6
   388   734    81   426   6285.17   6247.56    VI  FeII    5308.39    -659.46       0.00       0.00  4556  6276  0.05 33.25  1.64  5
   389   735   106   425   6290.98   6285.17   FeI    VI    4498.39     428.30     -44.07       1.54  4556  6361  0.53 16.98  4.26  2
   390   736   113   374   6285.17   6303.46    VI   FeI    6085.57   -1156.22       0.00       0.00  4556  6287  0.27 28.68  4.87  5
   391   737    93   426   6285.17   6315.81    VI   FeI    5108.87   -1153.33       0.00       0.00  4556  6276  0.11  3.20  0.68  5
   392   749    93   387   6086.29   6120.25   NiI   FeI    4462.98    1414.98       0.00       0.00  4556  6136  1.27 13.95  5.59  5
   393   752    78   390   6111.08   6120.25   NiI   FeI    4519.89    1771.15    -619.59     379.68  4556  6161  1.08 10.52  4.48  6
   394   753    72   385   6119.76   6120.25   NiI   FeI    4441.73     975.54    -230.93      26.65  4624  6161  0.21  3.42  1.56  2
   395   755    59   394   6130.14   6120.25   NiI   FeI    4240.07     756.04    -136.59      10.17  4556  6161  0.51  6.74  2.83  2
   396   756   119   391   6175.37   6120.25   NiI   FeI    4364.24    1416.43       0.00       0.00  4556  6136  1.51 18.82  6.55  5
   397   758    67   388   6186.72   6120.25   NiI   FeI    4648.16    1353.06     130.39      -0.20  4556  6136  0.74  9.46  4.00  6
   398   764    63   426   6625.02   6598.60   FeI   NiI    6736.86   -1900.75     610.06     -65.27  4624  6276  0.27  4.45  1.04  2
   399   765    67   432   6625.02   6635.13   FeI   NiI    6822.50   -1984.22     647.28     -73.17  4556  6374  0.33  4.04  1.08  2
   400   819    58   432   5225.53   5197.57   FeI  FeII    7242.36   -2255.24     740.92     -86.48  4556  6403  0.46  3.85  1.35  2
   401   820    57   433   5197.57   5247.06  FeII   FeI    5579.67    1918.91       0.00       0.00  4556  6403  0.18  2.95  0.99  5
   402   821    69   432   5250.21   5197.57   FeI  FeII    6938.31   -1858.10     552.07     -56.72  4556  6403  0.36  4.48  1.29  2
   403   833    54   430   5234.63   5225.53  FeII   FeI    4513.17    1064.24       0.00       0.00  4556  6289  0.13  1.80  0.89  1
   404   838    46   431   5225.53   5264.81   FeI  FeII    6231.67   -2567.02    1391.86    -257.28  4556  6403  0.81 43.26  3.58  6
   405   847    50   428   5247.06   5234.63   FeI  FeII    7051.86   -2121.77     699.94     -78.90  4647  6403  0.34  4.28  1.29  2
   406   848    71   427   5250.21   5234.63   FeI  FeII    7037.03   -2138.92     740.43     -90.32  4578  6403  0.36  3.67  1.20  2
   407   855    41   425   5264.81   5247.06  FeII   FeI    4570.37    2361.20    -985.79     151.09  4624  6403  0.03  1.55  0.51  2
   408   862    42   426   5264.81   5250.21  FeII   FeI    4568.25    2460.86   -1179.34     221.23  4556  6403  0.04  1.66  0.51  2
   409   873   114   416   5852.22   5853.15   FeI   FeI    4399.21    1930.06       0.00       0.00  4556  6271  0.78  7.88  3.79  5
   410   874    70   422   5853.15   5855.08   FeI   FeI    7020.93   -4283.44    2714.01    -610.98  4556  6271  0.26  1.71  0.57  2
   411   876    97   413   5853.15   5902.48   FeI   FeI    5208.86   -2279.43       0.00       0.00  4556  6271  0.28  2.03  0.85  5
   412   888    59   393   6120.25   6054.08   FeI   FeI    6826.93   -2448.87     968.71    -128.84  4578  6161  0.38  3.32  0.94  2
   413   893    69   395   6094.38   6120.25   FeI   FeI    4178.78     751.17    -121.42       8.73  4556  6161  0.51  5.61  2.69  2
   414   895    73   392   6098.25   6120.25   FeI   FeI    4833.49    1842.23       0.00       0.00  4556  6161  0.73  4.72  2.29  5
   415   898   114   382   6120.25   6159.38   FeI   FeI    4944.99   -1952.33       0.00       0.00  4595  6161  0.26  1.49  0.60  5
   416   904   107   419   6358.68   6380.75   FeI   FeI    7039.04   -6092.09       0.00       0.00  4556  6374  1.33  2.98  1.82  5
   417   907    91   425   6358.68   6416.93   FeI  FeII    7103.33    -861.89     108.92      -4.80  4556  6374  0.97  8.98  2.99  2
