nf	ni	stddev	nstars	line1	line2	ele1	ele2	c0	c1	c2	c3  teffa teffb rata ratb meanr nfit
33	 114	 76	 582	 6125.02	 6064.63	 SiI	 TiI	 6358.08	 -2461.75	 1387.97	 -262.71	 4597	 6227	 0.12	 9.56	 1.04	 4
34	 115	 109	 616	 6125.02	 6091.18	 SiI	 TiI	 7022.92	 -3467.36	 1873.19	 -333.84	 4597	 6374	 0.22	 9.09	 1.12	 4
35	 116	 87	 620	 6125.02	 6126.22	 SiI	 TiI	 6797.75	 -1860.02	 581.00	 -57.56	 4677	 6374	 0.32	 13.90	 1.67	 4
36	 117	 92	 611	 6125.02	 6081.45	 SiI	 VI	 6515.70	 -1980.57	 791.12	 -102.37	 4685	 6374	 0.18	 11.88	 1.39	 4
37	 118	 101	 606	 6125.02	 6090.21	 SiI	 VI	 6829.52	 -1255.81	 148.60	 16.90	 4724	 6361	 0.44	 16.17	 2.07	 4
38	 119	 86	 593	 6125.02	 6111.65	 SiI	 VI	 6320.85	 -1794.28	 748.84	 -102.38	 4685	 6287	 0.13	 13.96	 1.44	 4
39	 120	 87	 588	 6125.02	 6135.36	 SiI	 VI	 6341.60	 -2049.41	 956.37	 -146.02	 4685	 6271	 0.13	 11.13	 1.22	 4
40	 122	 101	 655	 6125.02	 6128.98	 SiI	 NiI	 4452.30	 537.62	 692.48	 -279.68	 4497	 6289	 0.19	 2.20	 0.93	 2
41	 123	 100	 642	 6125.02	 6177.25	 SiI	 NiI	 4169.85	 1052.13	 -191.40	 12.51	 4483	 6287	 0.32	 3.75	 1.49	 2
42	 133	 97	 645	 6142.49	 6091.18	 SiI	 TiI	 6765.34	 -2626.30	 1188.33	 -176.00	 4648	 6361	 0.22	 9.29	 1.14	 4
43	 134	 70	 640	 6142.49	 6126.22	 SiI	 TiI	 6617.59	 -1464.07	 386.23	 -32.76	 4648	 6361	 0.32	 16.13	 1.74	 4
44	 135	 86	 634	 6142.49	 6081.45	 SiI	 VI	 6427.97	 -1727.42	 654.10	 -85.20	 4597	 6289	 0.18	 13.96	 1.43	 4
45	 136	 85	 630	 6142.49	 6090.21	 SiI	 VI	 6769.93	 -1221.63	 206.55	 -4.82	 4677	 6403	 0.45	 22.08	 2.14	 4
46	 137	 81	 608	 6142.49	 6111.65	 SiI	 VI	 6242.46	 -1520.14	 573.41	 -72.90	 4727	 6227	 0.13	 15.60	 1.51	 4
47	 138	 81	 604	 6142.49	 6135.36	 SiI	 VI	 6260.73	 -1745.67	 744.97	 -108.43	 4677	 6146	 0.14	 12.53	 1.25	 4
48	 139	 93	 632	 6142.49	 6216.35	 SiI	 VI	 7051.32	 -1565.58	 376.24	 -30.16	 4677	 6289	 0.57	 23.77	 2.48	 4
