nl	stddev	nstars	line	ele	c0	c1	c2	c3	c4	teffa	teffb	feha	fehb	ewa	ewb	slope
    27   0.02358   340   4961.92   FeI   3.543935379e+02   8.169391750e+01  -8.764467831e-02   1.031665182e+01   5.359998768e-06  -6.613230434e-03  4647  6361 -0.70  0.39  20.1  66.2 1.0001
    28   0.03857    94   4967.90   FeI  -6.540744138e+02  -2.071933941e+02   2.630515291e-01  -1.694847161e+01  -2.356377560e-05   4.177196202e-02  4679  6374 -0.84  0.04  37.9  74.9 1.0050
    29   0.01820   249   4993.70   FeI   5.145329261e+02   1.030696558e+02  -1.158051490e-01   1.717867343e+01   6.339556333e-06  -5.782384808e-03  4989  6403 -0.84  0.30  20.5  74.4 0.9999
    30   0.03260   394   5054.65   FeI   1.340261263e+02   1.431698974e+00  -3.989402993e-03   1.244582553e+01  -2.133814919e-06   8.186786218e-03  4556  6403 -0.68  0.35  20.8  71.5 0.9997
    31   0.01442   156   5109.65   FeI   4.802793823e+02   3.256060661e+01  -1.157466094e-01   3.659376171e-01   7.849733117e-06   3.189133174e-03  4999  6374 -0.83  0.18  30.0  74.8 1.0000
    32   0.01893   358   5223.19   FeI   5.883154805e+01   2.439102791e+01   1.538571979e-02   4.939692646e+00  -3.538985024e-06   3.085435986e-03  4556  6361 -0.70  0.39  20.0  57.0 1.0001
    33   0.02348   158   5225.53   FeI   3.135686771e+01  -2.554271706e+01   5.535050342e-02  -1.776479685e+00  -8.344489081e-06   1.168022546e-02  5023  6403 -0.84  0.30  32.6  74.9 0.9999
    34   0.03240   364   5228.38   FeI  -1.691595457e+02  -3.751232765e+01   1.016939046e-01  -8.345323870e+00  -1.073165582e-05   1.446633620e-02  4578  6403 -0.84  0.33  27.3  75.0 0.9999
    35   0.01990   289   5243.78   FeI  -4.838093872e+01  -1.844598467e+01   6.173102787e-02  -2.324795399e+00  -7.367664182e-06   1.150554020e-02  4647  6374 -0.84  0.30  20.6  74.8 1.0001
    36   0.01848   186   5247.06   FeI   1.321606861e+02  -2.565712411e+01   2.116148769e-02  -2.134701446e+00  -5.615570178e-06   1.181486452e-02  5023  6361 -0.84  0.30  26.7  74.9 0.9999
    37   0.03675   194   5250.21   FeI  -2.068743843e+02   7.157283307e+00   1.409507137e-01   3.865152624e+00  -1.618223518e-05   6.932695937e-03  5009  6403 -0.84  0.30  26.3  74.7 1.0001
    38   0.03020   345   5288.53   FeI  -1.347524016e+02  -3.033168117e+01   8.870761729e-02  -3.575852742e+00  -9.580780603e-06   1.313646529e-02  4556  6374 -0.84  0.31  26.6  74.2 1.0002
    39   0.01751   355   5295.32   FeI  -1.179378744e+02   2.315132707e+01   7.142286915e-02   4.883777497e+00  -7.923361420e-06   3.454371591e-03  4578  6361 -0.56  0.39  20.2  53.6 1.0002
    40   0.02263   137   5376.83   FeI  -1.144734762e+02   2.713151590e+01   6.599635601e-02   1.654370444e+01  -7.582541093e-06   6.291847931e-04  4556  5914 -0.35  0.39  20.0  35.4 1.0000
    41   0.01588   334   5379.58   FeI  -7.200480113e+00  -1.588154462e+00   4.834470998e-02  -1.482704469e+00  -6.307733115e-06   8.373056905e-03  4624  6374 -0.84  0.33  20.8  74.9 1.0000
    42   0.02509   379   5386.34   FeI  -4.133562797e+00   1.323362328e+01   3.585093497e-02  -3.517345467e-01  -5.079561277e-06   5.199837336e-03  4578  6374 -0.72  0.35  20.0  58.1 1.0000
    43   0.02153   229   5395.22   FeI  -1.735067304e+02   5.967215008e+01   8.895695264e-02   2.075321779e+01  -9.589649181e-06  -4.265279708e-03  4556  6161 -0.38  0.39  20.1  48.4 1.0004
    44   0.03012   205   5398.28   FeI  -2.415328943e+02  -1.068005611e+02   1.248067406e-01  -8.674179473e+00  -1.221813072e-05   2.583036027e-02  4649  6374 -0.84  0.21  29.6  74.9 0.9987
