nl	stddev	nstars	line	ele	c0	c1	c2	c3	c4	teffa	teffb	feha	fehb	ewa	ewb	slope
27	 1.60901329078e-11	 3	 5049.82	 FeI	 -2.463938e-04	 5.330321e-05	 -5.764876e-01	 1.659793e-04	 1.277243e-04	 2.135469e-02	 4665	 4700	 -0.47	 -0.29	 53.4	 73.6	 0.99999999988
28	 0.017071993118	 157	 5109.65	 FeI	 4.365545e+02	 1.436707e+01	 -1.016072e-01	 -2.632962e+00	 6.709188e-06	 6.099104e-03	 4956	 6374	 -0.84	 0.18	 44.6	 74.8	 0.999955986706
29	 4.52361546768e-08	 5	 5127.36	 FeI	 -7.567269e+02	 1.491471e+03	 4.989412e-01	 3.073365e+02	 -5.675321e-05	 -1.809438e-01	 5765	 6178	 -0.67	 -0.32	 68.1	 73.0	 1.00000031414
30	 0.0308719020438	 42	 5141.74	 FeI	 -1.513530e+02	 -3.052801e+02	 8.760436e-02	 -3.529492e+01	 -8.314488e-06	 5.457739e-02	 5215	 6218	 -0.84	 0.0	 53.2	 74.4	 1.00080850982
31	 0.0232321012438	 155	 5225.53	 FeI	 9.769965e+00	 -2.783189e+01	 6.266808e-02	 -2.234787e+00	 -8.963757e-06	 1.205228e-02	 5205	 6403	 -0.84	 0.3	 42.5	 74.9	 0.999950371723
32	 0.015845855416	 49	 5242.50	 FeI	 -5.796352e+01	 -9.690292e+01	 6.264944e-02	 -1.723637e+01	 -6.618008e-06	 2.163736e-02	 5044	 6374	 -0.84	 0.04	 56.7	 74.9	 1.00029399818
33	 0.0331422770996	 303	 5243.78	 FeI	 -1.376580e+02	 -7.798522e+01	 9.192895e-02	 -8.955434e+00	 -9.913934e-06	 2.168508e-02	 4483	 6374	 -0.84	 0.3	 33.5	 74.8	 0.999055355806
34	 0.0189688526962	 184	 5247.06	 FeI	 6.432123e+01	 -3.841494e+01	 4.449910e-02	 -2.460067e+00	 -7.621641e-06	 1.399328e-02	 5044	 6374	 -0.84	 0.3	 36.7	 74.9	 0.99985250306
35	 0.0364905802394	 194	 5250.21	 FeI	 -3.609679e+01	 3.379124e+01	 8.327379e-02	 5.180045e+00	 -1.131698e-05	 2.449790e-03	 5044	 6403	 -0.84	 0.3	 32.8	 74.7	 1.00013968381
36	 0.0187721550221	 338	 5379.58	 FeI	 -1.013076e+02	 -2.980194e+01	 8.095485e-02	 -3.504412e+00	 -9.127096e-06	 1.322116e-02	 4575	 6403	 -0.84	 0.33	 33.5	 74.9	 1.00009705496
37	 0.0531435289592	 611	 5406.78	 FeI	 3.350420e+02	 5.943345e+01	 -7.814043e-02	 -1.603148e+00	 4.560585e-06	 -2.625325e-03	 4483	 6403	 -0.78	 0.39	 20.1	 72.3	 0.999926956134
38	 0.0583278866787	 378	 5409.14	 FeI	 -3.624881e+02	 -7.080896e+01	 1.661079e-01	 -3.602770e+00	 -1.619911e-05	 2.122637e-02	 4497	 6403	 -0.84	 0.33	 22.3	 75.0	 0.998438832183
39	 0.0599698897475	 602	 5417.04	 FeI	 2.212712e+02	 1.435484e+02	 -3.672995e-02	 1.172641e+01	 7.860923e-07	 -1.641530e-02	 4590	 6374	 -0.75	 0.39	 20.0	 72.8	 1.00180071907
40	 0.0311792057748	 409	 5436.59	 FeI	 -1.275281e+02	 -3.174586e+01	 9.566058e-02	 4.004233e+00	 -1.139392e-05	 1.442455e-02	 4483	 6374	 -0.84	 0.39	 20.7	 74.5	 0.999634175968
41	 0.0340794591643	 541	 5461.55	 FeI	 4.336203e+02	 7.725820e+01	 -1.175485e-01	 6.086802e+00	 8.130658e-06	 -5.881824e-03	 4595	 6361	 -0.59	 0.39	 20.1	 69.3	 0.999947795133
42	 0.0286755963672	 310	 5481.25	 FeI	 -1.870780e+02	 -1.225128e+01	 1.204315e-01	 -3.673387e+00	 -1.344232e-05	 1.147560e-02	 4640	 6374	 -0.84	 0.33	 24.0	 75.0	 0.999909172403
43	 0.0574252973478	 586	 5522.45	 FeI	 2.899674e+02	 3.056325e+01	 -6.025760e-02	 -2.700736e+00	 3.056205e-06	 2.979301e-03	 4483	 6403	 -0.78	 0.39	 20.1	 74.7	 0.999851019427
44	 0.0453748621657	 607	 5538.52	 FeI	 3.560733e+02	 5.188483e+01	 -8.327290e-02	 -5.856639e+00	 4.883374e-06	 -1.284521e-03	 4590	 6403	 -0.75	 0.39	 20.5	 74.6	 0.999981127761
45	 0.05256817777	 497	 5547.00	 FeI	 1.011787e+03	 2.187640e+02	 -3.110312e-01	 2.101298e+01	 2.433712e-05	 -2.939536e-02	 4497	 6403	 -0.78	 0.39	 20.1	 74.6	 1.0006739206
46	 0.0342798928757	 592	 5553.58	 FeI	 1.397087e+01	 -9.252053e+00	 3.378238e-02	 -5.722031e+00	 -5.038506e-06	 9.294836e-03	 4497	 6361	 -0.78	 0.39	 21.2	 69.5	 0.999886279369
47	 0.0520658836305	 304	 5567.40	 FeI	 -1.351711e+02	 -8.444977e+01	 9.149247e-02	 -7.711726e+00	 -9.950483e-06	 2.287323e-02	 4483	 6403	 -0.84	 0.33	 32.9	 74.9	 1.00141587931
48	 0.0397389937775	 577	 5619.60	 FeI	 3.524801e+02	 1.203005e+02	 -8.256002e-02	 1.087035e+01	 4.768304e-06	 -1.222181e-02	 4483	 6374	 -0.75	 0.39	 20.6	 74.2	 1.0005684383
49	 0.056269722637	 610	 5635.83	 FeI	 3.521887e+02	 8.958272e+01	 -8.566284e-02	 -2.661057e+00	 5.301380e-06	 -8.117848e-03	 4595	 6403	 -0.72	 0.39	 20.1	 66.7	 1.00001916141
50	 0.0141903415506	 131	 5638.27	 FeI	 1.562321e+02	 -7.575339e+00	 -2.262480e-03	 -2.829508e+00	 -1.972043e-06	 1.002127e-02	 4830	 6374	 -0.78	 0.18	 50.0	 74.9	 0.999994384327
